data ;dia_exp;trat;caixa;o2_9h;o2_15h;ph_9h;ph_15h;temp_9h;temp_15h;sal_9h;sal_15h;orp_9h;orp_15h;amo;nitri;alc;soli
05/05/2021;0;T29;CX1;5,86;5,73;8,21;8,11;NA;NA;28,69;29,27;57,2;83,1;NA;NA;NA;NA
05/05/2021;0;T29;CX2;5,8;5,54;8,22;8,1;NA;NA;28,57;29,11;58,3;84,2;NA;NA;NA;NA
05/05/2021;0;T32;CX3;5,32;5,17;8,21;8,1;NA;NA;28,79;29,1;58,4;84,2;NA;NA;NA;NA
05/05/2021;0;T32;CX4;5,39;5,07;8,2;8,09;NA;NA;28,98;28,92;59,2;85,1;NA;NA;NA;NA
05/05/2021;0;T26;CX5;6,21;6;8,2;8,09;NA;NA;28,63;29,05;63,2;89,1;NA;NA;NA;NA
05/05/2021;0;T35;CX6;5,05;4,81;8,18;8,1;NA;NA;29,02;29,05;62,7;85,9;NA;NA;NA;NA
05/05/2021;0;T29;CX7;5,91;5,77;8,23;8,04;NA;NA;28,47;28,85;50,2;78,5;NA;NA;NA;NA
05/05/2021;0;T26;CX8;6,33;6,12;8,22;8,06;NA;NA;28,47;28,81;51,8;80,5;NA;NA;NA;NA
05/05/2021;0;T35;CX9;5,2;4,98;8,22;8,11;NA;NA;28,47;29,11;48,6;76,8;NA;NA;NA;NA
05/05/2021;0;T26;CX10;6,25;6,45;8,2;8,06;NA;NA;28,82;28,57;53,7;82,5;NA;NA;NA;NA
05/05/2021;0;T32;CX11;5,18;5,3;8,2;8,08;NA;NA;28,85;28,65;52,8;81,3;NA;NA;NA;NA
05/05/2021;0;T35;CX12;5,28;5,14;8,2;8,1;NA;NA;28,91;28,5;52,9;76,9;NA;NA;NA;NA
06/05/2021;1;T29;CX1;6,26;6,28;8,31;8,22;29,23;29,22;28,15;28,42;13,1;18,6;NA;NA;NA;NA
06/05/2021;1;T29;CX2;5,97;5,8;8,22;8,07;29,09;29,13;29,16;29,06;24,9;25,2;NA;NA;NA;NA
06/05/2021;1;T32;CX3;5,42;5,42;8,2;8,07;32,05;32,1;29,75;29,76;27;27,7;NA;NA;NA;NA
06/05/2021;1;T32;CX4;5,48;5,4;8,19;8,06;32;32,02;29,38;29,52;30,9;29,8;NA;NA;NA;NA
06/05/2021;1;T26;CX5;6,21;6,01;8,18;8,06;26,18;26,44;29,3;29,26;36,7;36,9;NA;NA;NA;NA
06/05/2021;1;T35;CX6;4,94;4,92;8,17;8,06;34,8;34,68;29,01;29,74;35,4;34,6;NA;NA;NA;NA
06/05/2021;1;T29;CX7;5,81;5,82;8,16;8,04;29,09;29,02;29,26;29,43;44,8;39,8;NA;NA;NA;NA
06/05/2021;1;T26;CX8;6,32;6,23;8,15;8,03;26,14;26,14;29,11;29,24;47,6;43,3;NA;NA;NA;NA
06/05/2021;1;T35;CX9;4,95;5,02;8,2;8,08;35,11;35,05;28,99;29,04;44,2;40,6;NA;NA;NA;NA
06/05/2021;1;T26;CX10;6,38;6,17;8,14;8,03;26,01;26,16;28,9;29,21;50,1;46,9;NA;NA;NA;NA
06/05/2021;1;T32;CX11;5,22;5,42;8,17;8,04;31,99;31,93;29,11;29,25;49,1;45,9;NA;NA;NA;NA
06/05/2021;1;T35;CX12;4,97;4,9;8,15;8,04;34,92;34,96;29,25;29,32;48,1;44,6;NA;NA;NA;NA
07/05/2021;2;T29;CX1;6,04;5,85;8,19;NA;29,21;29,28;28,75;28,41;26,4;72,3;NA;NA;NA;NA
07/05/2021;2;T29;CX2;5,94;5,8;8,2;7,97;29,17;29,1;29,29;28,95;28,2;72,7;NA;NA;NA;NA
07/05/2021;2;T32;CX3;5,42;5,46;8,19;7,95;32,08;32,08;29,93;29,32;28,6;71,4;NA;NA;NA;NA
07/05/2021;2;T32;CX4;5,57;5,37;8,17;7,97;32,04;32,03;29,72;29,03;31,3;71,8;NA;NA;NA;NA
07/05/2021;2;T26;CX5;6,45;6,25;8,16;7,95;26,18;26,36;29,48;26,06;36,4;75;NA;NA;NA;NA
07/05/2021;2;T35;CX6;5,05;5,55;8,17;7,95;34,92;34,98;29,48;29,45;33,7;71,9;NA;NA;NA;NA
07/05/2021;2;T29;CX7;5,44;5,4;8,15;7,94;29,06;28,98;29,54;29,12;39,6;74,1;NA;NA;NA;NA
07/05/2021;2;T26;CX8;5,72;5,97;8,16;7,94;26,12;26,14;29,31;28,95;27,9;75,8;NA;NA;NA;NA
07/05/2021;2;T35;CX9;4,68;4,88;8,19;7,98;35,03;35,03;29,33;28,49;30,7;71,6;NA;NA;NA;NA
07/05/2021;2;T26;CX10;5,81;5,84;8,13;7,94;26,01;26,13;29,39;29,2;39,4;77;NA;NA;NA;NA
07/05/2021;2;T32;CX11;5,12;5,18;8,16;7,96;31,91;31,93;29,46;28,73;39,7;74,6;NA;NA;NA;NA
07/05/2021;2;T35;CX12;4,71;4,85;8,14;7,94;34,96;34,88;29,63;28,89;40,5;73;NA;NA;NA;NA
08/05/2021;3;T29;CX1;5,22;5,73;8,17;8,08;29,21;29,24;28,6;28,57;59,7;48,3;NA;NA;NA;NA
08/05/2021;3;T29;CX2;5,43;5,6;8,17;8,08;29,11;29,12;29,02;29;56,2;51,2;NA;NA;NA;NA
08/05/2021;3;T32;CX3;5,05;5,3;8,17;8,08;32,09;31,99;29,26;29,31;50,6;53,9;NA;NA;NA;NA
08/05/2021;3;T32;CX4;4,88;5,19;8,17;8,03;32,02;31,99;29,26;29,31;50,6;53,9;NA;NA;NA;NA
08/05/2021;3;T26;CX5;5,83;6;8,16;8,06;26,11;26,17;29,69;29,69;32,1;58,2;NA;NA;NA;NA
